# id	npc_id	npc_level	affiliated_area_id	loc_x	loc_y	loc_z	raid_desc
57	25125	65	97	164645	80129	-2360	"A gigantic tiger of legend that rules the Anghel Waterfall. Originally, it was a sacred and divine creature who guided angels in the heavens, but it mauled its master and ran away to the earth. It despises its now miserable life, and has grown violent. It devours any travelers or reckless adventurers who pass by."
59	25127	24	30	-47552	219232	-2413	"The chieftess of the Langk Lizardmen, she serves the evil spirit Bifrons in exchange for great power. At the command of Bifrons, she captured and slaughtered priests and the Disciples of God traveling on the south road. Recently, she has begun devoting herself to expanding the tribe's power in the north by taking advantage of the chaos in Gludio."
60	25128	33	1	17696	179056	-3520	"The Great Seer who leads the Vuku Orcs. He has more power than Chief Driko, and is held in high esteem as a divine being. He laments that his tribe is forced to wander through the hostile human realm. He hopes to take the tribe back to the northern homeland of the Orcs."
61	25131	50	67	75488	-9360	-2720	"The Captain of the Convict Mercenaries from Gracia is called the Lord of Slaughter and is a powerful rival of the Bloody Lord Nurka. Given his superb diplomatic skills, he has established ties of friendship with many great nobles and high ranking officials. These nobles make frequent use of his troops, the Convicts, and in turn he uses the nobles to set up his plan to return to his homeland, Gracia."
62	25134	40	67	95149	81709	-3704	"The Old Chief who has led Leto Lizardmen for the last several decades. In spite of his old age, he has survived thanks to his strength and quick wits. He knows that his tribe cannot take their homeland back in a direct fight against the Kingdom of Aden, so he watches for an opportunity to strike. He hopes to use the coming confusion to secure the territory of the Leto Lizardmen."
65	25143	78	97	116430	14647	6992	"The leader of the vanguard of angels that punished Baium and broke down the Tower of Insolence. He actively works to hold back the devils that smashed through the upper floors of the Tower of Insolence. He guides Kel Mahums of the Platinum Tribe into war against the devils for control of the Tower of Insolence. He is called the Fire of Wrath for he wields the sword of judgment without hesitation, compassion or mercy."
66	25146	21	30	-13056	215680	-3760	"An Evil Spirit worshipped like a god by the Langk Lizardmen who live in the south of Gludio. He looks like a snake and has ruled the spiritual world of the lizardmen for hundreds of years. However, he resents the cursed body the gods in the heaven created for him and tries to slaughter the messengers of the gods in retribution. He is very violent and yearns to destroy the entire area of Gludio one day through the Langk Lizardmen."
67	25149	25	30	-27546	145684	-3368	"A knight who used to govern a peaceful town before the Gracian War, today it is called the Ruins of Agony. Called Sir Grindel in his lifetime, he was captured and brutally tortured to death after losing a battle against the Gracian Army. Underlings of Beleth hiding in the town stole his body and resurrected him, making his soul corrupted. Having lost his knightly honor and sense of self-sacrifice, now he has turned into a devil and tries to spread his pain to all he encounters in his endless wanders through the Ruins of Agony."
68	25152	35	1	43872	123968	-2928	"A low level devil mistakenly summoned by Shaman King Selu. Due to the forced summoning, he lost the way to return to his original place. Concealing his identity, he attacks travelers passing by and collects their souls in order to gain the power to return."
69	25155	40	67	73520	66912	-3728	"Once the ruler of the Selu Orc tribe, he went mad after a dangerous experimental summoning spell that he created failed disastrously. Calling himself the Shaman King, he left the tribe's village and with a group of equally insane followers, preys on hapless travelers. He has some magical skills, but habitually overestimates his ability."
70	25158	48	67	77104	5408	-3088	"A foolish man who could not suppress his powerful yearning to learn the forbidden knowledge that humans cannot attain, and tried to learn the dragons' magic by visiting Land Dragon Antharas alone. Antharas turned the man into a monster for disturbing his rest. Now a hideous creature, the man hates anything beautiful. He curses Antharas in private, but is truly terrified of the dragon."
71	25159	54	97	124984	43200	-3625	"A unicorn aimlessly drifting after losing its home long ago.  It has wandered since the Era of Myths ended with Einhasad's rage against the Lesser Giants. The leader of the unicorns lost its herd while roaming the world. Although it is still desperately looking for its fellow unicorns, hundreds of years have passed since it parted ways from them. Wandering alone, it still has not adapted itself to the human world."
73	25163	70	97	130500	59098	3584	"A drake that used to be a guardian of Aden in ancient times, but turned into a devil of revenge after losing his child to a greedy hunter. He has left Dragon Valley to roam the territories near Aden Castle, and killed countless villagers. He also killed the priests who came to calm his rage. All of his good deeds have been erased from the chronicles by Imperial command, and he is now called the Disaster of Aden."
74	25166	25	30	-29789	132477	-3664	"A handiwork of darkness created by evil necromancers to contain their desire. It is known that he has a close relationship with the moon. Many researchers were dispatched from the Ivory Tower to learn of his true purpose, all of them succumbed to Ikuntai's dark power and joined the side of evil. The Ivory Tower has since forbidden any further study of Ikuntai."
75	25169	30	30	-54464	170288	-3136	"A bloodthirsty Lord and a veteran warrior known for his great battle victories. According to recent rumors, he is conspiring to overthrow his master."
76	25170	38	1	26064	121808	-3738	"The Convict Mercenary Captain searches for the secrets of the Cruma Tower. After listening to a bard singing a song called Seven Secrets of Cruma Tower, he has decided to officially become a knight of the king by attaining the ancient weapon, which is the third secret of the song. Since Gatekeepers of the Cruma Tower have rejected his teleport as the Convict Tribe is banned from the tower, he still has not entered the tower, but has been circling around it."
79	25179	60	97	167152	53120	-4148	"Another subordinate of Glaki. Like Glaki, he also guards the statue of the giants but does not consider this work a sacred duty. According to legend, the Statue of the Giants can resurrect an incomplete body of a giant to regain a complete body. It is said that the reason he is guarding the statue is not to earn the trust of Glaki but to fulfill his secret ambition to obtain a perfect and powerful body."
80	25182	59	16	41966	215417	-3728	"A devil and Beleth' servant living on Devil's Isle. After Beleth disappeared from the world, this devil stopped his own activities and has been taking a long vacation. When the pirates occupied Devil's Isle and became raucous, he woke up and regretted that he didn't wipe out the pirates from Devil's Isle before Zaken became immortal. He is waiting for his master, Beleth, to return."
81	25185	35	121	99732	204331	-3784	"The Tasaba Lizardman Captain lives in the field of Innadril. At the command of the Water Dragon, Tasaba Lizardmen serving the Water Dragon Fafurion live in the field and keep the Land of Holy Water. He laments that the world is in the era of humans, and misses the past. Every time a full moon comes, he conducts a holy ritual dedicated to the Water Dragon."
82	25188	30	121	127076	214973	-3100	"A beast living in the Innadril Territory as one of the Evil Spirits born from Shilen's pain. He hates Eva who became the Goddess of Water instead of Shilen, and calls her a fake. He still thinks that the true Goddess of Water is Shilen."
83	25189	34	121	127837	200661	-3792	"The servant of Elder Cronos lives in the Hunters Village and snuck into Innadril where Eva's religion was widely practiced and caused confusion by threatening the Goddess of Water's followers. In order to obtain ingredients for the wonder drug of happiness that Cronos is making, he came to Innadril. After losing himself in daydreams of the world, Mumu forgot why he came here, and hasn't returned to Cronos because he is afraid of being scolded."
84	25192	43	121	125920	190208	-3291	"A Crokian who has protected the land of Innadril since the ancient times. He lived here before humans and elves came to Innadril, and believes that Innadril has holy grounds unique to itself. He has watched the humans endlessly expand over the years, and firmly believes he must protect his ancestors' lands."
89	25208	40	121	109801	213314	-3924	"An Evil Spirit born from Goddess Shilen's despair, woe, and rage. Although he fought in the war with the gods on the side of Shilen during the Era of Myths, he was greatly injured in the battle, and has been hiding under the protection of the Water Dragon Fafuion. Lately, he has been rumored to propagate Shilen's return. He serves Fafurion, waiting for the day when Shilen and Evil Spirits dominate the world again."
90	25211	36	121	113456	198118	-3689	"Crokian Chief who rules Alligator Island. As a native Crokian who has lived in Innadril before humans and elves came, he hates outsiders and tries to protect his territory and tribe from them. Although he is not happy about the Water Couatl Ateka living on the same island, he cannot do anything about it because he is afraid of Water Dragon Fafurion. He dreams about the day when Crokians can rule Innadril again."
91	25214	40	121	111582	209341	-3687	"As Water Dragon Fafurion's lieutenant, this Evil Spirit defeated countless disciples of the gods. Known as Sika of Storm during the War of the Gods, he is a veteran warrior and an engaging storyteller. Currently, he travels the world and tells stories at the command of Fafurion."
95	25226	62	67	104240	-3664	-3392	"The Oel Mahum Lord who once owned the Bandit Stronghold. Tired of the constant fighting for territory, he abandoned the stronghold along with his loyal seers and prefects, and is observing the competition for the Bandit Stronghold as a spectator."
96	25229	75	97	137568	-19488	-3552	"This servant of the Wind Dragon Lindvior was severely injured during the War of the Gods and retreated to the Blazing Swamp to heal his wounds. His long hibernation recently ended when the power of Shilen began to radiate from the Tower of Insolence. Slightly smaller than a general drake, he is sometimes confused with the Wind Dragon because of his quick movements."
97	25230	57	67	66672	46704	-3920	"In his youth, he became a hero of the Timak Orcs after leading them to build the Timak Outpost. Granted a greatly extended lifespan by the power of totems, he is now the leader of all Timak Orcs."
98	25233	69	97	185800	-26500	-2000	"Through his neglect, this notorious commander helped cause the destruction of his garrison during the war between Elmore and Aden. He unwisely opened the gates to an old Elmorian friend, who abused his trust by poisoning the castle's well. Many of the soldiers and their families died, and Elmore's army easily overran the depleted force. Distraught at his failure, Andras fell on his sword. It is said that his ghost still wanders the castle's ruins."
100	25235	72	180	116400	-62528	-3264	"The Vanor Silenos Chief, he rules the Plains of Glory east of Aden. During the Unification in the reign of King Raoul, Kandra agreed to a peace treaty with the humans. As war clouds have gathered, though, he has again taken steps to ready the Vanor Silenos Tribe for battle. Rumor has it that King Raoul proposed the original peace treaty because he feared Kandra's renowned swordsmanship."
101	25238	59	97	155000	85400	-3200	"This dragon guards the southeastern shore of the river in the Forest of Mirrors. Once a ghost in the Forest, he begged the Shaman Isir to restore his life. Resurrected as a dragon, he was ordered by Isir to prevent any outsiders from crossing the river and penetrating the Forest."
102	25241	55	97	165984	88048	-2384	"The Harit Lizardmen's best warrior, Tamish is a quiet, reliable perfectionist who never gives up on his task until it has been completed. Entrusted with guarding Anghel Waterfall, he has admirably protected the Harit Lizardmen's Holy Land against all manner of monsters and devils."
103	25244	75	97	171880	54868	-5992	"Discovered in the Giant's Cave, some scholars speculate that given his combat prowess, this Lesser Giant is actually a real Giant. Hedging their bets, they named him the Last Lesser Giant Olkuth."
104	25245	78	97	188809	47780	-5968	"He protects the Divine Statue of Giants, an ancient relic of the Giants located deep inside the Giant's Cave. No one knows what the statue means or why it is so fiercely guarded."
105	25248	72	97	127903	-13399	-3720	"Once the commander of the infamous Death Agent Army that ravaged the land, terrorizing friends and foes alike until he was eventually demoted at the request of several prominent nobles. He was later killed in battle when his army was sacrificed as bait, but not even death could end his bloodlust, however. Calling upon the magic of Darkness, he and his army were resurrected as undead soldiers. Now the Commander of the Undead, he roams Ancient Battlegrounds and threatens the Border Outpost with a gleaming, rust-proof blade."
106	25249	75	97	147104	-20560	-3377	"This plant-shaped monster is found near the Blazing Swamp. According to one theory, Palatanos is the result of a failed experiment, after Ipos arose from purgatory. His influence and magic were not the equal of Hallate, and was unable to create the same kind of powerful underlings. Too proud to ask Hallate for help, he tried honing his skills on relatively simple monsters. Despite Palatanos' strange origin and appearance, he can still be a potentially dangerous adversary."
107	25252	70	97	184244	20318	-3618	"Queen of the Palibati who protect the Seal of Shilen. It was one of the monsters born to Shilen during the time of the war among the gods. Its authority matches that of the death lords. It summons deadmen and demons to do its bidding. It even treats the lower devil Succubus as its maid. According to Shilen's Priest Hisilrome, who is of Palibati descent, Themis is a fragment of the monster queen that Shilen sent to this land."
108	25255	65	97	170048	-24896	-3440	"The leader of the Ancient Gargoyles, he led them in the service of Shilen against the gods during the War of the Gods. After their defeat, he fled to the Forsaken Plains. There he hides, sharpening his blade of vengeance and waiting for Shilen, the Mother of Evil Spirits, to return."
109	25256	60	97	170320	42640	-4832	"This High Prefect of the Taik Orcs occupied the Cemetery in preparation for an attack on Aden Castle. He has attempted an unsuccessful surprise attack using only a small number of elite soldiers and the supply troops, but has been hampered by having to deal with the complicated interests of other monsters who had already built a nest in the region. His hatred of humans is deep, personal and deadly."
110	25259	55	16	42050	208107	-3752	"This executioner once served the great Pirate Zaken, even putting to death Zaken's rebellious crew members. Ironically, he later decapitated Zaken himself during the riot. Following his resurrection as an undead because of Zaken's curse, he swore to never again disobey his captain's commands. He now guards Zaken's treasure in the Pirate Tunnel."
111	25260	45	67	93120	19440	-3607	"This Iron Giant was supposedly made by Devil Beleth. Given the power of artificial intelligence, he is a Golem designed to manage other Golems. Due to Beleth' caprice, however, he was sealed up and put on standby. During his inactivity, he began to be worshipped as an idol by low-level Orcs who gathered near him. Now re-activated, he believes that he has become the God of Orcs."
112	25263	67	97	144400	-28192	-1920	"Like most monsters in the Blazing Swamp, Sekina also became a devil after receiving the power of Hallate. She is loyal to Kernon, who is currently in the Tower of Insolence, and is currently carrying out a secret mission on his orders in the Blazing Swamp area. The exact nature of the mission is unknown."
114	25269	70	180	123504	-23696	-3481	"During the golden years of Elmoreden, this King of Beasts was captured and brought to the Coliseum as a spectacle to entertain the Emperor and his court. When the empire fell, he was sealed beneath the Coliseum by mystics afraid of his vengeance, but later escaped. His gigantic arms can shatter rocks, and is able to rule all beasts."
115	25272	28	1	49248	127792	-3552	"The commander of the Ol Mahum tribes that occupy the old Fortress of Resistance, he also he commands other Ol Mahums within the territory through his superior cleverness and bravery. He is a descendant of the Ol Mahum Commander created through biological manipulation during the Era of Titans, and like his ancestor can directly command the minds of other Ol Mahums."
116	25273	50	1	23800	119500	-8976	This menacing golem was created by the Lesser Giants to defend Cruma Tower during their war with the Gods. It waits patiently in the Tower's lowest level for orders from its Lesser Giant masters - orders that will never come.
117	25276	75	97	154088	-14116	-3736	"This powerful Death Lord rose up from Purgatory at the behest of Death Lord Hallate. Unlike Hallate, who exhausted most of his power breaking the seal of the Tower of Insolence, Ipos has preserved most of his. He prefers conspiracies and subtle plots to direct action and is currently keenly interested in the situation near Aden Castle. He seems to have some kind of relationship with several high-ranking nobles in Aden Kingdom."
124	25290	78	180	186304	-43744	-3193	"Created by the dark side of the God of Light, Einhasad, to punish the arrogance of the Giant Argos, this giant Monster Eye is set in the Wall of Argos. It controls other monster eyes in order to eradicate the eyes of Argos and thwart his plans."
125	25293	78	180	134672	-115600	-1216	"This servant of the Fairy Queen was dispatched to protect the Rainbow Springs Chateau, a resort that Fairy Queen Timiniel loves. With power almost equal to the Queen's, he is a little disgruntled at what he feels is so menial an assignment. To pass the time and ease his boredom, he often ""plays"" with travelers passing by. Unfortunately for them, his hijinks are more than most humans can endure."
127	25299	80	180	148160	-73808	-4919	"This Orc soldier is the right arm of Commander Tayr and greatly respected by the Ketra Orc Warriors. With his immense axe, nicknamed Divider, he slew so many Silenos that their compatriots are more afraid of him than they are of Commander Tayr."
128	25302	80	180	145504	-81664	-6016	"This merciless and reckless warrior has led the Ketra Orcs for many years. A born gambler, he prefers direct action to elaborate plans, and personally leads his troops from the front line during an attack. He has faced Varka's Commander Mos twice, winning one of the contests, and is eager for a rematch."
129	25305	80	180	145008	-84992	-6240	"Brakki obtained the power of Fire Spirit Nastron, which gave him beast-like attributes. Thanks to his enhanced strength and instincts, he has become a formidable chief of the Ketra Orcs. He finds his inferiors burdensome during a battle and prefers to fight alone. He has fought Varka's Chief Horus several times without success."
130	25306	80	180	142368	-82512	-6487	"Fire Spirit summoned by Ketra Orcs' Guide of Dead Souls Asefa. Possessed with a strong propensity to wildness and violence, he tends to burn or destroy anything near him. He gave Ketra's Chief Brakki the power of the beasts, and is the power source of spells used by Asefa."
131	25309	80	180	115552	-39200	-2480	"This great sage is sometimes called Varka Silenos' Hope. He prophesied that the future of Varka Silenos was in the land of Goddard and persuaded Chief Horus to lead Silenos there. Despite age and infirmity, he stood in the front ranks to aid Commander Mos against the powerful Ketra Orcs."
132	25312	80	180	109216	-36160	-938	"This legendary Varka Silenos commander has helped lead his people in the endless war against the Ketra Orcs. A resourceful general, he prefers painstaking preparations and cunning, often elaborate, plans. He has had difficulty anticipating Commander Tayr's reckless tactics."
133	25315	80	180	105584	-43024	-1728	"This young chief of the powerful mercenary Varka Silenos is an excellent swordsman. He is ably assisted by his commander, Mos, and his shaman, Shadith."
134	25316	80	180	105452	-36775	-1050	"This Water Spirit was summoned by Guide of Dead Souls Udan Mardui of the Varka Silenos. He is capricious but peaceful, and provides the power source for the Guide of Dead Souls."
135	25319	80	180	184542	-106330	-6304	"Known as Valakas' Hound, Valakas fashioned this monster out of lava to punish trespassers and fend off enemies while he sleeps."
136	25322	66	200	93296	-75104	-1824	"Once an excellent knight, this Elmorean nobleman sold his soul to Devil Triol in exchange for eternal life and power. Transformed into a vampire, he was dispatched by Devil Triol's followers to steal Einhasad's relic, the Grail of Splendor.  "
137	25325	70	200	91008	-85904	-2736	"This Archangel keeps the Grail of Splendor, a relic of Einhasad, Goddess of Light. She does not reveal her existence openly, but is closely watching the actions of devils within Elmore Kingdom."
138	25328	71	200	59331	-42403	-3003	"The oldest son of the notorious von Hellmann Family that was executed for treason. Through a diabolical contract, he was resurrected as a vampire. He now wanders the Forest of the Dead, dreaming about his revenge."
140	25339	80	180	0	0	0	"One of four Guardian Knights assigned to protect Prince Frintezza, he was sacrificed and sold to Halisha by the unwise Prince in an attempt to save his own skin. In his lifetime, he was called Valkyrie Alectia of Flames because of his beautiful appearance, excellent skills and fiery temper."
141	25342	80	180	0	0	0	"One of 4 Guardian Knights assigned to protect Prince Frintezza, he was sacrificed and sold to Halisha by the unwise Prince in an attempt to save his own skin. In his lifetime, he was called Valkyrie Tishas of Calmness because of his handsome appearance, formidable skill and dignified character."
142	25346	80	180	0	0	0	"One of four Guardian Knights assigned to protect Prince Frintezza, he was sacrificed and sold to Halisha by the unwise Prince in an attempt to save his own skin. In his lifetime, he was called Valkyrie Meka Snowstorm due to his excellent skills and ice-cold personality."
143	25349	80	180	0	0	0	"One of four Guardian Knights assigned to protect Prince Frintezza, he was sacrificed and sold to Halisha by the unwise Prince in an attempt to save his own skin. In his lifetime, he was called Valkyrie Morigul of the Ivory Tower because he hailed from the Ivory Tower."
